"GA0518_YAP_KO_D_1" "GA0518_YAP_KO_D_2" "GA0518_untreated_1" "GA0518_untreated_2" "GA0518_VT_200_1" "GA0518_VT_200_2"
"ENSG00000011332.21" 53.011 74.02 114.333 117.013 103.231 128.262
"ENSG00000011347.10" 63 72.002 566.092 594.441 103.003 59.502
"ENSG00000011376.12" 1156.272 1193.765 1422.592 1493.333 1249.335 1211.485
"ENSG00000011405.13" 2240.846 2272.997 4313.262 4949.17 2867.791 2760.038
"ENSG00000011422.12" 1012.641 1066.483 570.099 638.3 2468.546 2780.368
"ENSG00000011426.11" 7922.53 8312.543 7552.118 8855.214 10753.068 11185.397
"ENSG00000011451.21" 727.06 752.801 1077.249 1107.031 1975.975 2032.768
"ENSG00000011454.18" 1241.038 1149.938 497.738 490.075 1359.213 1275.16
"ENSG00000011465.18" 0 0 0 0 0 0
"ENSG00000011478.13" 666.485 700.705 420.546 444.273 458.887 576.706
"ENSG00000011485.15" 2828.962 2890.183 2926.322 3172.836 2267.518 2354.967
"ENSG00000011523.14" 355.002 348.104 342.353 354.33 357.335 388.381
"ENSG00000011566.15" 599.648 563.967 769.18 880.428 773.635 815.543
"ENSG00000011590.14" 29 25 15 17 31.094 47
"ENSG00000011600.12" 0 0 0 0 0 0
"ENSG00000011638.11" 540.637 434.883 300.112 344.679 359.994 299.106
"ENSG00000011677.13" 1 0 120.211 130.013 0 3
"ENSG00000012048.23" 2134.534 2158.117 1264.175 1468.827 2165.265 1945.244
"ENSG00000012061.16" 2901.205 2907.496 659.278 690.441 1298.988 1261.031
"ENSG00000012124.17" 21.006 14.001 30 40 70 87.001
"ENSG00000012171.20" 151.43 201.155 2181.485 2227.81 44 58
"ENSG00000012174.12" 949.832 949.474 924.44 995.552 983.906 984.089
"ENSG00000012211.13" 203.777 252.358 465.399 493.511 123.854 131.425
"ENSG00000012223.13" 0 2 0 0 0 0
"ENSG00000012232.9" 403.379 409.314 2484.885 2828.019 1657.337 1419.333
"ENSG00000012504.15" 0 0 0 0 0 0
"ENSG00000012660.14" 6941.301 7593.297 0 0 6587.92 6790.814
"ENSG00000012779.11" 0 6 116.772 150.031 0 3
"ENSG00000012817.16" 0 0 1 0 0 0
